Index,Stage(ft_NCDD),Stage(ft_NAVD88),Storage(ac-ft),Storage(Mgal),Area(ac)
1198,476.71,480.4,309.8851275,100.9765125,23.46474874
1199,476.61,480.3,307.5424508,100.213148,23.38616966
1200,476.51,480.2,305.2086506,99.45267584,23.29078752
1201,476.41,480.1,302.8843674,98.6953048,23.19145171
1202,476.31,480,300.5700793,97.94119073,23.0980464
1203,476.21,479.9,298.2651619,97.19013007,22.9992048
1204,476.11,479.8,295.970227,96.44232226,22.89640954
1205,476.01,479.7,293.6869769,95.69832195,22.76915098
1206,475.91,479.6,291.4163539,94.95843621,22.64164531
1207,475.81,479.5,289.1582536,94.22263097,22.51908173
1208,475.71,479.4,286.9125378,93.49086128,22.39874208
1209,475.61,479.3,284.6786177,92.7629352,22.28383872
1210,475.51,479.2,282.4546135,92.03824026,22.19488128
1211,475.41,479.1,280.239754,91.31652512,22.10271149
1212,475.31,479,278.0338976,90.59774364,22.01301274
1213,475.21,478.9,275.8369608,89.88186866,21.92084294
1214,475.11,478.8,273.6495746,89.16910573,21.83312102
1215,475.01,478.7,271.4705081,88.45905379,21.74910566
1216,474.91,478.6,269.299733,87.7517036,21.66583162
1217,474.81,478.5,267.1370045,87.04697541,21.58404019
1218,474.71,478.4,264.9827818,86.34501886,21.50150746
1219,474.61,478.3,262.8364377,85.64562958,21.42589363
1220,474.51,478.2,260.6977519,84.94873576,21.34311379
1221,474.41,478.1,258.5683185,84.25485681,21.24402509
1222,474.31,478,256.4483537,83.56406327,21.15333792
1223,474.21,477.9,254.3377305,82.87631367,21.05894419
1224,474.11,477.8,252.2360731,82.19148558,20.9731991
1225,474.01,477.7,250.1428956,81.5094207,20.88893664
1226,473.91,477.6,248.0578251,80.8299975,20.81109888
1227,473.81,477.5,245.9804478,80.15308114,20.73943872
1228,473.71,477.4,243.9106236,79.47862594,20.65690598
1229,473.61,477.3,241.8488526,78.80679492,20.58005664
1230,473.51,477.2,239.7944976,78.13738042,20.50716096
1231,473.41,477.1,237.7475636,77.47038404,20.4293232
1232,473.31,477,235.7095066,76.80628025,20.33591789
1233,473.21,476.9,233.6798871,76.1449258,20.25387936
1234,473.11,476.8,231.658528,75.48626305,20.17703002
1235,473.01,476.7,229.6444882,74.82998531,20.10586406
1236,472.91,476.6,227.6379067,74.17613786,20.02530816
1237,472.81,476.5,225.6392371,73.52486851,19.953648
1238,472.71,476.4,223.6478509,72.87597247,19.87531603
1239,472.61,476.3,221.6642148,72.22960179,19.79204198
1240,472.51,476.2,219.6890675,71.58599722,19.71049766
1241,472.41,476.1,217.72185,70.94497659,19.63290701
1242,472.31,476,215.7623874,70.30648289,19.55284531
1243,472.21,475.9,213.8114486,69.67076668,19.46191104
1244,472.11,475.8,211.8696526,69.03802966,19.37072966
1245,472.01,475.7,209.9368116,68.40821066,19.28547878
1246,471.91,475.6,208.0121961,67.78107194,19.20689971
1247,471.81,475.5,206.095651,67.15656297,19.12115462
1248,471.71,475.4,204.1875349,66.53480062,19.03862189
1249,471.61,475.3,202.2881076,65.91586953,18.9526297
1250,471.51,475.2,200.3970981,65.29968138,18.8663904
1251,471.41,475.1,198.5146409,64.68628,18.7796569
1252,471.31,475,196.6405689,64.07561094,18.6998423
1253,471.21,474.9,194.7748428,63.46766142,18.61360301
1254,471.11,474.8,192.9175796,62.86246955,18.53230579
1255,471.01,474.7,191.0687191,62.26001572,18.44779622
1256,470.91,474.6,189.2288785,61.66050102,18.35562643
1257,470.81,474.5,187.3985441,61.06408392,18.25752614
1258,470.71,474.4,185.5772514,60.47061311,18.16510925
1259,470.61,474.3,183.7651288,59.88013036,18.07886995
1260,470.51,474.2,181.9620463,59.29259335,17.98768858
1261,470.41,474.1,180.1681817,58.70805998,17.89205933
1262,470.31,474,178.3831601,58.12640813,17.80285478
1263,470.21,473.9,176.6077205,57.5478786,17.70771974
1264,470.11,473.8,174.8417611,56.9724382,17.6125847
1265,470.01,473.7,173.0859549,56.40030625,17.51003654
1266,469.91,473.6,171.3402902,55.83147892,17.40304051
1267,469.81,473.5,169.6046991,55.26593405,17.30741126
1268,469.71,473.4,167.8789327,54.70359062,17.20807546
1269,469.61,473.3,166.1633994,54.14458163,17.10206784
1270,469.51,473.2,164.4584878,53.58903372,16.99383629
1271,469.41,473.1,162.7647315,53.03712081,16.87646189
1272,469.31,473,161.0824518,52.48894757,16.76971296
1273,469.21,472.9,159.4120027,51.94462933,16.63504128
1274,469.11,472.8,157.7551039,51.4047265,16.50481747
1275,469.01,472.7,156.1111693,50.86904806,16.37385235
1276,468.91,472.6,154.4798524,50.33748109,16.25153587
1277,468.81,472.5,152.8607279,49.80988707,16.13514989
1278,468.71,472.4,151.2532348,49.28608314,16.01777549
1279,468.61,472.3,149.6572832,48.76604001,15.9013895
1280,468.51,472.2,148.0738286,48.25006908,15.7716599
1281,468.41,472.1,146.5023565,47.73800264,15.66071021
1282,468.31,472,144.9425981,47.22975313,15.5364169
1283,468.21,471.9,143.3947816,46.72539492,15.42299616
1284,468.11,471.8,141.8585845,46.22482288,15.30438624
1285,468.01,471.7,140.3342039,45.72810129,15.18231686
1286,467.91,471.6,138.8219777,45.23534021,15.05802355
1287,467.81,471.5,137.3226017,44.74676639,14.92458739
1288,467.71,471.4,135.837204,44.26274741,14.7889273
1289,467.61,471.3,134.3651991,43.78309253,14.65623245
1290,467.51,471.2,132.9069002,43.30790374,14.50969978
1291,467.41,471.1,131.4633714,42.8375278,14.36168448
1292,467.31,471,130.0353679,42.37221083,14.1961248
1293,467.21,470.9,128.6246168,41.91251556,14.01919834
1294,467.11,470.8,127.2317362,41.45864343,13.83831821
1295,467.01,470.7,125.8565023,41.0105215,13.6589207
1296,466.91,470.6,124.5002974,40.56860017,13.46543827
1297,466.81,470.5,123.163454,40.13298783,13.26849638
1298,466.71,470.4,121.8465254,39.70386477,13.07624947
1299,466.61,470.3,120.5488882,39.28102783,12.87312998
